customer_id,name,gender,age,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,categorized_job_title
1,Laraine Medendorp,Female,64.0,Health,Mass Customer,N,Yes,11.0,Administrative Roles
2,Eli Bockman,Male,37.0,Financial Services,Mass Customer,N,Yes,16.0,Administrative Roles
3,Arlin Dearle,Male,63.0,Property,Mass Customer,N,Yes,15.0,Administrative Roles
4,Talbot  ,Male,56.0,IT,Mass Customer,N,No,7.0,unknown
5,Sheila-kathryn Calton,Female,40.0,Unknown,Affluent Customer,N,Yes,8.0,Marketing & Media
6,Curr Duckhouse,Male,51.0,Retail,High Net Worth,N,Yes,13.0,unknown
7,Fina Merali,Female,41.0,Financial Services,Affluent Customer,N,Yes,11.0,unknown
8,Rod Inder,Male,55.0,Unknown,Mass Customer,N,No,7.0,Administrative Roles
9,Mala Lind,Female,44.0,Argiculture,Affluent Customer,N,Yes,8.0,Management & Leadership Roles
10,Fiorenze Birdall,Female,29.0,Financial Services,Mass Customer,N,Yes,20.0,Engineering & Technical Roles
11,Uriah Bisatt,Male,63.0,Property,Mass Customer,N,No,9.0,unknown
12,Sawyere Flattman,Male,23.0,Manufacturing,Mass Customer,N,No,8.0,Engineering & Technical Roles
13,Gabriele Norcross,Male,62.0,Financial Services,High Net Worth,N,Yes,8.0,IT & Software Roles
14,Rayshell Kitteman,Female,34.0,Financial Services,Affluent Customer,N,No,6.0,Marketing & Media
15,Erroll Radage,Male,17.0,Manufacturing,Mass Customer,N,No,1.0,Marketing & Media
16,Harlin Parr,Male,40.0,Unknown,Mass Customer,N,Yes,18.0,Administrative Roles
17,Heath Faraday,Male,55.0,Unknown,Affluent Customer,N,Yes,15.0,Marketing & Media
18,Marjie Neasham,Female,50.0,Unknown,Affluent Customer,N,No,11.0,Education & Teaching
19,Sorcha Keyson,Female,16.0,Manufacturing,High Net Worth,N,No,1.0,Engineering & Technical Roles
20,Basile Firth,Male,37.0,Manufacturing,Mass Customer,N,No,11.0,Administrative Roles
21,Mile Cammocke,Male,37.0,Manufacturing,Affluent Customer,N,Yes,16.0,Healthcare & Therapy
22,Deeanne Durtnell,Female,55.0,IT,Mass Customer,N,No,11.0,unknown
23,Olav Polak,Male,22.0,Unknown,High Net Worth,N,Yes,1.0,unknown
24,Kim Skpsey,Female,40.0,Argiculture,Mass Customer,N,Yes,15.0,Administrative Roles
25,Geoff Assaf,Male,41.0,Financial Services,Mass Customer,N,Yes,21.0,Administrative Roles
26,Trixi Ginnelly,Female,39.0,Financial Services,Mass Customer,N,Yes,16.0,Marketing & Media
27,Garvin Klees,Male,39.0,Health,Mass Customer,N,Yes,12.0,Science & Research
28,Fee Zellmer,Male,44.0,Health,Affluent Customer,N,Yes,21.0,Engineering & Technical Roles
29,Mona Sancraft,Female,49.0,Manufacturing,Mass Customer,N,No,19.0,Healthcare & Therapy
30,Darrick Helleckas,Male,56.0,IT,Affluent Customer,N,Yes,6.0,unknown
31,Star Praton,Female,55.0,Telecommunications,High Net Worth,N,Yes,14.0,Administrative Roles
32,Marion Vanichkin,Female,22.0,Manufacturing,Affluent Customer,N,No,4.0,Administrative Roles
33,Ernst Hacon,Male,60.0,Unknown,Affluent Customer,N,Yes,11.0,Engineering & Technical Roles
34,Jephthah Bachmann,Unknown,174.0,IT,Affluent Customer,N,No,20.0,Administrative Roles
35,Margaretha Strettle,Female,54.0,Health,High Net Worth,N,Yes,16.0,Administrative Roles
36,Lurette Stonnell,Female,40.0,Unknown,Affluent Customer,N,No,22.0,Management & Leadership Roles
37,Laurie Dwerryhouse,Female,32.0,Health,High Net Worth,N,No,16.0,Marketing & Media
38,Cordi Merman,Female,62.0,Financial Services,Affluent Customer,N,No,20.0,Management & Leadership Roles
39,Hunfredo Smalley,Male,38.0,Entertainment,Mass Customer,N,No,22.0,Administrative Roles
40,Tomasine Jerche,Female,36.0,Manufacturing,Affluent Customer,N,No,14.0,Administrative Roles
41,Basilius Coupe,Male,41.0,Health,Mass Customer,N,No,16.0,Science & Research
42,Chiquita Durnall,Female,40.0,Manufacturing,Mass Customer,N,No,18.0,Finance & Accounting
