name,age,gender,past_3_years_bike_related_purchases,categorized_job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,property_valuation,Rank,Value,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Chickie Brister,60.0,Male,86,Administrative Roles,Manufacturing,Mass Customer,Yes,14,4500,Queensland,6,1,1.71875,1.04,1.3,1.625,1.3812499999999999,1
Morly Genery,47.0,Male,69,Engineering & Technical Roles,Property,Mass Customer,No,16,2113,New South Wales,11,1,1.71875,0.85,0.85,1.0625,0.903125,1
Ardelis Forrester,43.0,Female,10,Management & Leadership Roles,Financial Services,Affluent Customer,No,10,3505,Victoria,5,1,1.71875,0.56,0.56,0.56,0.56,1
Lucine Stutt,38.0,Female,64,Marketing & Media,Manufacturing,Affluent Customer,Yes,5,4814,Queensland,1,4,1.703125,0.51,0.6375,0.6375,0.6375,4
Melinda Hadlee,52.0,Female,34,Finance & Accounting,Financial Services,Affluent Customer,No,19,2093,New South Wales,9,4,1.703125,1.0,1.0,1.25,1.25,4
Druci Brandli,66.0,Female,39,Administrative Roles,Entertainment,High Net Worth,Yes,22,4075,Queensland,7,6,1.671875,0.75,0.9375,0.9375,0.9375,6
Rutledge Hallt,41.0,Male,23,Finance & Accounting,Financial Services,Mass Customer,No,8,2620,New South Wales,7,6,1.671875,0.99,0.99,0.99,0.8415,6
Nancie Vian,45.0,Female,74,Administrative Roles,Retail,Mass Customer,Yes,10,4814,Queensland,5,8,1.65625,0.91,1.1375,1.1375,0.9668749999999999,8
Duff Karlowicz,45.0,Male,50,Healthcare & Therapy,Manufacturing,Mass Customer,Yes,5,2200,New South Wales,10,8,1.65625,0.8,1.0,1.25,1.0625,8
Barthel Docket,32.0,Male,72,Administrative Roles,IT,Mass Customer,Yes,17,4151,Queensland,5,10,1.640625,0.63,0.7875,0.7875,0.6693749999999999,10
Rockwell Matson,23.0,Male,94,IT & Software Roles,Retail,High Net Worth,No,3,4573,Queensland,6,10,1.640625,0.86,0.86,1.075,1.075,10
Wheeler Winward,18.0,Male,48,Science & Research,Manufacturing,Mass Customer,No,10,3216,Victoria,8,12,1.625,1.09,1.09,1.09,0.9265,12
Olag  ,27.0,Male,60,Administrative Roles,Telecommunications,Mass Customer,No,9,2032,New South Wales,11,13,1.609375,0.95,0.95,1.1875,1.009375,13
Melba Spellacy,41.0,Female,38,Management & Leadership Roles,Health,Mass Customer,No,4,2232,New South Wales,10,14,1.59375,0.7,0.7,0.875,0.74375,14
Mandie Feares,53.0,Female,32,Healthcare & Therapy,Health,Mass Customer,No,10,4053,Queensland,8,14,1.59375,0.96,0.96,0.96,0.816,14
Dukie Swire,63.0,Male,88,unknown,Manufacturing,Affluent Customer,Yes,5,2500,New South Wales,8,16,1.5625,0.63,0.7875,0.984375,0.984375,16
Marcelia Monkleigh,24.0,Female,61,Education & Teaching,Manufacturing,Mass Customer,Yes,4,4051,Queensland,6,17,1.546875,1.09,1.3625,1.3625,1.158125,17
Winnifred Beswetherick,41.0,Female,83,Finance & Accounting,Financial Services,Mass Customer,No,14,3040,Victoria,10,17,1.546875,0.55,0.55,0.6875,0.584375,17
Odilia Quick,79.0,Female,65,Administrative Roles,Manufacturing,Affluent Customer,Yes,11,2222,New South Wales,11,19,1.53125,0.72,0.8999999999999999,1.125,1.125,19
Karly Willavize,63.0,Female,2,Finance & Accounting,Manufacturing,High Net Worth,No,12,2190,New South Wales,10,19,1.53125,0.86,0.86,1.075,1.075,19
Teddie Burchill,49.0,Male,11,IT & Software Roles,Manufacturing,Mass Customer,Yes,13,2161,New South Wales,9,21,1.515625,0.91,1.1375,1.421875,1.20859375,21
Gaston Dallaghan,24.0,Male,44,Finance & Accounting,Financial Services,Mass Customer,Yes,8,2783,New South Wales,7,21,1.515625,0.58,0.725,0.725,0.61625,21
Otis Ottey,19.0,Male,26,Engineering & Technical Roles,Unknown,Mass Customer,No,3,4744,Queensland,4,23,1.5,0.92,0.92,0.92,0.782,23
Tabbatha Averill,40.0,Female,5,Healthcare & Therapy,Unknown,Affluent Customer,Yes,13,2257,New South Wales,8,23,1.5,0.58,0.725,0.725,0.725,23
Brena Schnitter,35.0,Female,78,Marketing & Media,Manufacturing,Mass Customer,No,4,4703,Queensland,5,25,1.484375,1.02,1.02,1.02,0.867,25
Rourke Gillbard,72.0,Male,11,unknown,Property,Mass Customer,No,17,4817,Queensland,4,26,1.46875,0.85,0.85,0.85,0.7224999999999999,26
Dyane Burwell,65.0,Female,19,Engineering & Technical Roles,Retail,Mass Customer,Yes,7,2640,New South Wales,2,26,1.46875,1.07,1.3375000000000001,1.3375000000000001,1.136875,26
Claudine Barstowk,51.0,Female,71,Healthcare & Therapy,Property,High Net Worth,Yes,5,4000,Queensland,11,26,1.46875,0.81,1.0125000000000002,1.2656250000000002,1.2656250000000002,26
Blinnie Roze,57.0,Female,84,Science & Research,Entertainment,High Net Worth,No,11,4171,Queensland,7,26,1.46875,0.78,0.78,0.9750000000000001,0.9750000000000001,26
Rhona De Freyne,57.0,Female,45,unknown,Health,High Net Worth,No,8,3056,Victoria,10,30,1.4609375,0.41,0.41,0.5125,0.5125,30
Sharron Claibourn,37.0,Female,62,unknown,Financial Services,High Net Worth,Yes,17,2280,New South Wales,8,30,1.4609375,1.05,1.3125,1.3125,1.3125,30
Brien Heaton,66.0,Male,70,Healthcare & Therapy,Health,Mass Customer,Yes,12,2470,New South Wales,2,32,1.453125,0.46,0.5750000000000001,0.5750000000000001,0.48875,32
Sybilla MacCart,30.0,Female,88,Administrative Roles,Financial Services,Mass Customer,Yes,7,2620,New South Wales,7,32,1.453125,0.71,0.8875,1.109375,0.94296875,32
Mikel McNess,36.0,Male,71,Healthcare & Therapy,Unknown,Mass Customer,No,9,4122,Queensland,9,32,1.453125,0.83,0.83,1.0374999999999999,0.8818749999999999,32
Maisie Maddox,40.0,Female,27,Administrative Roles,Financial Services,Affluent Customer,No,20,3226,Victoria,9,32,1.453125,0.5,0.5,0.625,0.625,32
Arleen Casbolt,42.0,Female,48,Engineering & Technical Roles,Financial Services,Affluent Customer,Yes,13,4817,Queensland,1,36,1.44765625,0.93,1.1625,1.1625,1.1625,36
Farlie Petford,49.0,Male,76,Administrative Roles,Unknown,High Net Worth,No,13,2017,New South Wales,10,36,1.44765625,0.86,0.86,1.075,1.075,36
Mitchell MacCague,38.0,Male,58,unknown,Manufacturing,Mass Customer,No,15,3190,Victoria,8,38,1.4375,0.57,0.57,0.57,0.48449999999999993,38
Garik Whitwell,62.0,Male,44,unknown,Property,Mass Customer,Yes,13,3280,Victoria,2,38,1.4375,0.85,1.0625,1.0625,0.903125,38
Antonin Britt,24.0,Male,64,unknown,Manufacturing,Affluent Customer,Yes,8,2160,New South Wales,9,40,1.434375,1.06,1.3250000000000002,1.6562500000000002,1.6562500000000002,40
Vinny Incogna,64.0,Female,73,unknown,Health,High Net Worth,No,10,2756,New South Wales,8,40,1.434375,1.01,1.01,1.01,1.01,40
Colene Fishleigh,32.0,Female,24,Engineering & Technical Roles,Financial Services,Mass Customer,No,3,3149,Victoria,10,42,1.421875,1.02,1.02,1.275,1.08375,42
Neile Argent,71.0,Female,79,unknown,Retail,Mass Customer,No,8,2024,New South Wales,10,42,1.421875,1.03,1.03,1.2875,1.094375,42
Corinna Suggey,51.0,Female,52,Engineering & Technical Roles,Unknown,Affluent Customer,No,9,2761,New South Wales,8,44,1.42109375,0.72,0.72,0.72,0.72,44
Brooke Arling,56.0,Male,76,unknown,Unknown,High Net Worth,No,6,3027,Victoria,5,44,1.42109375,0.41,0.41,0.41,0.41,44
Gipsy Ewestace,61.0,Female,29,Management & Leadership Roles,Retail,High Net Worth,Yes,5,2034,New South Wales,12,46,1.4078125,0.87,1.0875,1.359375,1.359375,46
Sheena Kybbye,61.0,Female,14,Administrative Roles,Financial Services,Affluent Customer,Yes,19,4852,Queensland,1,46,1.4078125,0.69,0.8624999999999999,0.8624999999999999,0.8624999999999999,46
Jobina Gobourn,23.0,Female,85,Management & Leadership Roles,Unknown,High Net Worth,Yes,14,4305,Queensland,4,46,1.4078125,0.92,1.1500000000000001,1.4375000000000002,1.4375000000000002,46
Gale Disbrow,40.0,Female,59,Management & Leadership Roles,Financial Services,Mass Customer,Yes,17,3741,Victoria,7,46,1.4078125,0.82,1.025,1.025,0.8712499999999999,46
Thaxter Kingsbury,67.0,Male,12,Engineering & Technical Roles,Argiculture,Mass Customer,No,20,2067,New South Wales,12,50,1.40625,0.4,0.4,0.5,0.425,50
Heinrick Shilstone,39.0,Male,60,unknown,Manufacturing,Affluent Customer,No,10,3174,Victoria,8,50,1.40625,0.51,0.51,0.51,0.51,50
