customer_id,name,age,gender,past_3_years_bike_related_purchases,categorized_job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,property_valuation
1,Laraine Medendorp,64.0,Female,93,Administrative Roles,Health,Mass Customer,Yes,11.0,2016,New South Wales,10
2,Eli Bockman,37.0,Male,81,Administrative Roles,Financial Services,Mass Customer,Yes,16.0,2153,New South Wales,10
4,Talbot Unknown,56.0,Male,33,unknown,IT,Mass Customer,No,7.0,4211,Queensland,9
5,Sheila-kathryn Calton,40.0,Female,56,Marketing & Media,Unknown,Affluent Customer,Yes,8.0,2448,New South Wales,4
6,Curr Duckhouse,51.0,Male,35,unknown,Retail,High Net Worth,Yes,13.0,3216,Victoria,9
7,Fina Merali,41.0,Female,6,unknown,Financial Services,Affluent Customer,Yes,11.0,2210,New South Wales,9
8,Rod Inder,55.0,Male,31,Marketing & Media,Unknown,Mass Customer,No,7.0,2650,New South Wales,4
9,Mala Lind,44.0,Female,97,Management & Leadership Roles,Argiculture,Affluent Customer,Yes,8.0,2023,New South Wales,12
11,Uriah Bisatt,63.0,Male,99,unknown,Property,Mass Customer,No,9.0,3044,Victoria,8
12,Sawyere Flattman,23.0,Male,58,Engineering & Technical Roles,Manufacturing,Mass Customer,No,8.0,4557,Queensland,4
13,Gabriele Norcross,62.0,Male,38,Engineering & Technical Roles,Financial Services,High Net Worth,Yes,8.0,3799,Victoria,6
14,Rayshell Kitteman,34.0,Female,85,Marketing & Media,Financial Services,Affluent Customer,No,6.0,2760,New South Wales,8
15,Erroll Radage,17.0,Male,91,Marketing & Media,Manufacturing,Mass Customer,No,1.0,2428,New South Wales,9
16,Harlin Parr,40.0,Male,38,Marketing & Media,Unknown,Mass Customer,Yes,18.0,3331,Victoria,4
17,Heath Faraday,55.0,Male,57,Marketing & Media,Unknown,Affluent Customer,Yes,15.0,3058,Victoria,9
18,Marjie Neasham,50.0,Female,79,Education & Teaching,Unknown,Affluent Customer,No,11.0,2135,New South Wales,12
19,Sorcha Keyson,16.0,Female,76,Engineering & Technical Roles,Manufacturing,High Net Worth,No,1.0,2233,New South Wales,9
20,Basile Firth,37.0,Male,72,Management & Leadership Roles,Manufacturing,Mass Customer,No,11.0,2444,New South Wales,8
21,Mile Cammocke,37.0,Male,74,Healthcare & Therapy,Manufacturing,Affluent Customer,Yes,16.0,2650,New South Wales,7
24,Kim Skpsey,40.0,Female,55,Administrative Roles,Argiculture,Mass Customer,Yes,15.0,2153,New South Wales,10
25,Geoff Assaf,41.0,Male,72,Administrative Roles,Financial Services,Mass Customer,Yes,21.0,4413,Queensland,3
26,Trixi Ginnelly,39.0,Female,12,Marketing & Media,Financial Services,Mass Customer,Yes,16.0,4740,Queensland,5
27,Garvin Klees,39.0,Male,37,Science & Research,Health,Mass Customer,Yes,12.0,3218,Victoria,7
28,Fee Zellmer,44.0,Male,5,Engineering & Technical Roles,Health,Affluent Customer,Yes,21.0,4868,Queensland,4
29,Mona Sancraft,49.0,Female,62,Healthcare & Therapy,Manufacturing,Mass Customer,No,19.0,4116,Queensland,7
30,Darrick Helleckas,56.0,Male,18,unknown,IT,Affluent Customer,Yes,6.0,2519,New South Wales,11
31,Star Praton,55.0,Female,3,Administrative Roles,Telecommunications,High Net Worth,Yes,14.0,2135,New South Wales,12
32,Marion Vanichkin,22.0,Female,17,Administrative Roles,Manufacturing,Affluent Customer,No,4.0,2756,New South Wales,9
33,Ernst Hacon,60.0,Male,44,Engineering & Technical Roles,Unknown,Affluent Customer,Yes,11.0,2170,New South Wales,9
34,Jephthah Bachmann,174.0,Unknown,59,Administrative Roles,IT,Affluent Customer,No,20.0,4005,Queensland,8
35,Margaretha Strettle,54.0,Female,40,IT & Software Roles,Health,High Net Worth,Yes,16.0,4127,Queensland,6
